name,calories,description,image
千葉県産貴味メロン＆とろける杏仁豆腐,121,セブンイレブンで定番の杏仁豆腐に、ＪＡちばみどり産（旭市）の「飯岡の貴味メロン」を使用した商品。甘いジューシーな貴味メロンがたっぷりと入った贅沢仕立て,https://img.7api-01.dp1.sej.co.jp/item-image/113248/C38494A45F45EF5745DCAFD2B9AA1E3E.jpg
三浦市産すいかの杏仁豆腐,99,「三浦市産すいか」を使用した杏仁豆腐。甘さ控えめの杏仁豆腐にクラッシュゼリーと三浦市産すいかをトッピングした仕立てです。,https://img.7api-01.dp1.sej.co.jp/item-image/113247/E173ACC6AF159CE807AAADE599D65049.jpg
林檎の食感愉しむアップルパイ（ホイップクリーム入り）,276,大きめカットのりんごコンポートを包んで焼き上げたパイに、ホイップクリームを詰めて仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/113036/C41AE991ADCC74DBA7B3CC40F398A2FC.jpg
やまぐち県酪きらら牛乳使用ミルクほいっぷにゃ,157,山口県産生乳１００％の「やまぐちきらら牛乳」を使用したミルクホイップを味わえる洋菓子です。,https://img.7api-01.dp1.sej.co.jp/item-image/113242/621A806A236FB8C0AD2D873BB6B05461.jpg
カスタードプリン,260,濃厚でコクのある味わいを楽しめるカスタードプリンです。,https://img.7api-01.dp1.sej.co.jp/item-image/113040/11BCB295E6783CB3F94423386EE8FEFD.jpg
カスタードプリン,252,卵の風味を感じる、懐かしい味わいのカスタードプリンです。,https://img.7api-01.dp1.sej.co.jp/item-image/112959/C44056B1560CA0983CD055B4A747356F.jpg
カスタードプリン,255,湯煎焼きしたとろっとなめらかな食感のプリンです。,https://img.7api-01.dp1.sej.co.jp/item-image/112947/BFA10473F6C784CE4E7C743E4592F65D.jpg
とろける杏仁豆腐,128,春夏向けにすっきりとした杏仁の風味とくちどけの良いとろける食感の杏仁豆腐です。,https://img.7api-01.dp1.sej.co.jp/item-image/112862/832EA9C6CB7270ABB3F2BD52A0F809D0.jpg
イタリア栗のモンブラン,264,マロンムース，マロンペースト，ホイップクリーム，マロンホイップを重ねた栗尽くしのモンブランです。,https://img.7api-01.dp1.sej.co.jp/item-image/112942/0E2E1E259B7C650752620E328CA4B236.jpg
チョコバナナクレープ,254,もっちり食感のクレープ生地で、バナナ，チョコクリーム，ホイップクリームを包んだクレープです。,https://img.7api-01.dp1.sej.co.jp/item-image/112920/84BC99EE19840E8DBBFD5A3665F4D9C7.jpg
カスタード＆ホイップのダブルシュー,258,くちどけの良いシュー皮にこだわり卵を使用したカスタードクリームとホイップクリームを詰めた仕立てです。,https://img.7api-01.dp1.sej.co.jp/item-image/111754/CFD3F21C9A64387CDC08B1C7734426F4.jpg
窯焼きシューとろ生カスタード,172,発酵バターを使用した香ばしく口どけの良いシュー生地になめらかでコクのあるカスタードを詰めた仕立てです。,https://img.7api-01.dp1.sej.co.jp/item-image/110954/70F7A11FF0D3DD457614ED675C6031AD.jpg
窯焼きシュー　とろ生カスタード,175,発酵バターを使用した香ばしく口どけの良いシュー生地になめらかでコクのあるカスタードを詰めた仕立てです。,https://img.7api-01.dp1.sej.co.jp/item-image/112958/168AA3F0BAEBB758DFE2F745478A8215.jpg
マンゴー＆ココナッツミルクゼリー,228,マンゴーとココナッツを組み合わせた夏にさっぱりと食べられるゼリーです。ココナッツダイスゼリーにココナッツムースを合わせ、食感も楽しめる仕立てです。,https://img.7api-01.dp1.sej.co.jp/item-image/110751/69A3C22BE448AF28E792C4D9B7B4B88A.jpg
とろけるなめらか　マンゴープリン,158,とろける食感のマンゴープリンの上に、ゴロゴロとしたマンゴー果肉とマンゴーソースを組み合わせたマンゴーを存分に味わえる商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/111815/FB644DB9FF9A20A1A9CE43DB569E164F.jpg
北海道産牛乳使用　とろけるミルクプリン,151,北海道産牛乳を使用しミルクムースとカラメルソースを重ねた３層仕立てのプリンです,https://img.7api-01.dp1.sej.co.jp/item-image/113171/BDD6E64DD06F87EA60CEA72E417F4EEF.jpg
とろけるコーヒーゼリー,134,コクのある香り高いセブンカフェのコーヒー豆を使用したコーヒーゼリー。クリームとよく絡む口どけの良いコーヒーゼリーと、ミルクホイップクリームを組み合わせました。,https://img.7api-01.dp1.sej.co.jp/item-image/112996/521E2307BF8F15EAB5DC751505122C55.jpg
こだわりの口どけとろなまプリン,304,とろけるような口どけの良さが特長のプリンです。,https://img.7api-01.dp1.sej.co.jp/item-image/112987/59AB32F81EC89B4F464629BB7EAE8556.jpg
ホイップクリームのミルクプリン,264,ホイップクリームとミルクプリン，カラメルソースがバランス良く仕立てられた食べ進みのよいミルクプリンです。,https://img.7api-01.dp1.sej.co.jp/item-image/112961/17BABA354D086E6DBC4A60468AEBB358.jpg
塚田牛乳を使ったミルクプリン,274,塚田牛乳を使ったミルクプリンにホイップクリームを絞りました。※ミルクプリン中に塚田牛乳を８０％使用。,https://img.7api-01.dp1.sej.co.jp/item-image/112930/FAA0F41C2F030D8398348D9B718A941D.jpg
カカオ香るとろける生チョコ,338,濃厚な一口サイズの生チョコです。カップに詰め、手軽に食べやすく仕立てました。,https://img.7api-01.dp1.sej.co.jp/item-image/111453/437B7666FD5043882003B23B32AD4557.jpg
愛媛県産和栗のテリーヌ,187,渋皮ごとペースト状にした、香りよい愛媛県産和栗をテリーヌに仕立てました。,https://img.7api-01.dp1.sej.co.jp/item-image/113235/74B43D332F6104561DC9877484DA0B28.jpg
くちどけの宇治抹茶テリーヌ,464,宇治抹茶を使用したなめらかなくちどけの良いテリーヌです。,https://img.7api-01.dp1.sej.co.jp/item-image/113227/BDE99A34D7FF91BD473F0D7C15BC4FE3.jpg
ふんわりクリームシフォン,451,ふんわりくちどけの良いシフォンケーキとホイップクリームを詰め込んだ、ボリューム感のあるカップスイーツです。,https://img.7api-01.dp1.sej.co.jp/item-image/113195/22B2752693AAC11BD6524526421F985A.jpg
チーズクリームクッキーサンド,258,サックリ、ホロホロとした食感のクッキーでクリームチーズとマスカルポーネを合わせた濃厚な味わいのクリームをサンドしました,https://img.7api-01.dp1.sej.co.jp/item-image/113191/12DFD5537724B8000B8ED368EB689ADE.jpg
千葉県産牛乳使用 モーモークレープ,193,千葉県産牛乳を使用したミルククリームをクレープ皮で包みました。チョコクリームで牛柄に模様をつけた可愛らしい見た目のクレープです。,https://img.7api-01.dp1.sej.co.jp/item-image/113184/9BE11C3245A391EF32784C5B2B845C8E.jpg
もっちりクレープ　とろ生スイートポテト,231,もっちり食感のクレープ生地で生スイートポテトクリームとホイップクリームを包んだクレープです。,https://img.7api-01.dp1.sej.co.jp/item-image/113183/32B55924BE50F14952AE829EBBBDF2CF.jpg
生チョコ＆みるくクリームクロワッサン,299,口どけの良いクロワッサンにとろけるような食感の生チョコとみるくクリームを挟んだ仕立て。,https://img.7api-01.dp1.sej.co.jp/item-image/113179/3DA16D6FFAA0BD54CBB02B4EEF2CD0AD.jpg
白バラ牛乳使用 モーモークレープ,193,白バラ牛乳を使用したミルククリームをクレープ皮で包みました。チョコクリームで牛柄に模様をつけた可愛らしい見た目のクレープです。,https://img.7api-01.dp1.sej.co.jp/item-image/113162/B19292D4ADB9354E0F9CA42A3A765C8F.jpg
湘南ゴールドクレープ,204,「湘南ゴールド」を使用したクレープ。もちもちとした生地に湘南ゴールド入りレアチーズクリーム、湘南ゴールドソース、湘南ゴールド入りホイップを包んだ仕立てです。,https://img.7api-01.dp1.sej.co.jp/item-image/113134/03FE71A951CC96385AD3CA8F7043C52C.jpg
ストロベリーベイクドチーズタルト,146,手軽に食べられるワンハンドタイプのチーズタルトです。２種類のチーズを使用し焼き上げた濃厚な味わいに、甘酸っぱい苺ソースを組み合わせました。,https://img.7api-01.dp1.sej.co.jp/item-image/113117/00B64CB9A09963ABC4901022A72F361F.jpg
もっちりクレープ黒みつきなこわらび餅入り,245,もっちり食感のクレープ生地で、わらび餅ときなこホイップクリームを包んだ和洋折衷のクレープです。,https://img.7api-01.dp1.sej.co.jp/item-image/111278/3DCA0117F864D9EF2A714D30C694F6EA.jpg
塚田牛乳使用モーモークレープ　ミルククリーム＆ホイップ,244,塚田牛乳を使ったミルククリームを包み、チョコクリームで牛柄模様をつけたクレープです。※塚田牛乳をミルククリーム中５５％使用。,https://img.7api-01.dp1.sej.co.jp/item-image/113106/D758C261C0DE356ACFDFFE9B3E77551A.jpg
モーモークレープ　ミルククリーム＆ホイップ,215,牛乳を使用した白いクレープ生地に牛乳の甘みを感じられるミルククリームを包み、チョコクリームを牛柄に見せたかわいらしい見た目のクレープです。,https://img.7api-01.dp1.sej.co.jp/item-image/113104/B3EA65E387EC3D022D08949559EC3BB6.jpg
生チョコとチョコクリームのパイ,301,チョコパイ生地で生チョコを包み込み、焼き上げました。とろける食感のチョコクリームを後充填し、濃厚な生チョコとの食感の違いを楽しめる仕立てにしました。,https://img.7api-01.dp1.sej.co.jp/item-image/111593/C2DE1A6FD96B9AD248B6ACA3041CD7CE.jpg
カップｄｅフレンチトースト　メープル仕立て,454,バゲットを使用したしっとりした食感のフレンチトースト。メープルソースを付けてお召し上がりいただける商品です。,https://img.7api-01.dp1.sej.co.jp/item-image/113069/42F97339F51B0CB184984F1E36408FB4.jpg
ホイップ好きのための　ホイップクリーム,325,口どけなめらかで濃厚な味わいのホイップクリームだけをカップに詰めた、パンやケーキ等のアレンジにも使えるスイーツです,https://img.7api-01.dp1.sej.co.jp/item-image/111974/87D1D517030524E41A69B32362C4786A.jpg
イタリア栗のモンブランケーキ,303,イタリア栗を使った濃厚な味わいが特長のモンブランをカップスイーツ仕立てにしました。原材料高騰の為、税抜３００円から３３８円へ変更します。,https://img.7api-01.dp1.sej.co.jp/item-image/113026/3524AF4CAD8B6E48E0F7FC9CE74B84A5.jpg
ベイクドチーズケーキ,221,発酵バターを加えたクッキー生地の上にクリームを練り込んだ濃厚なチーズ生地を重ねて焼いた、ワンハンドのチーズケーキです,https://img.7api-01.dp1.sej.co.jp/item-image/113009/38E54A6E8FDA47F3C95304E0E01AF4FF.jpg
岩手葛巻町産牛乳のモーモークレープ,229,岩手葛巻町産牛乳を使ったミルククリームをもっちりとしたクレープ皮で包みました。チョコクリームで牛柄に模様をつけた可愛らしい見た目のクレープです。,https://img.7api-01.dp1.sej.co.jp/item-image/112989/7F844F907D85FE9B5621920D78AA4BB4.jpg
ひとくちチーズケーキ,244,クリームチーズをたっぷり使用した濃厚な味わい。小腹が空いたときに手軽に少しずつ食べられるひとくちサイズのチーズケーキです。,https://img.7api-01.dp1.sej.co.jp/item-image/112898/5EDF3B38455D9AE3EA8E3D29EE6BFBCF.jpg
とろなま食感チーズテリーヌ,406,濃厚でなめらかな口どけの良いチーズテリーヌです。,https://img.7api-01.dp1.sej.co.jp/item-image/112804/DE9169C37A9E0D7FB6FD81E92681E2BC.jpg
ふんわりクリームシフォン,451,ふんわりくちどけの良いシフォンケーキとホイップクリームを詰め込んだ、ボリューム感のあるカップスイーツです。,https://img.7api-01.dp1.sej.co.jp/item-image/111362/2053CDB15D7C376E3FCD7E5EE4F4F93A.jpg
クリームを味わうショコラエクレア,283,くちどけ良いエクレア皮になめらかなチョコクリームを詰め、カカオの香りを感じられるチョコをかけたチョコ好きにはたまらないショコラエクレアです,https://img.7api-01.dp1.sej.co.jp/item-image/113164/2C47F67117D41713D6DAF31B60FB56A9.jpg
岩手葛巻町産牛乳のミルクもこ,226,もちもち食感の白いシュー皮に、「岩手葛巻町産牛乳」を使用したコクのあるミルククリームを合わせました。,https://img.7api-01.dp1.sej.co.jp/item-image/113070/2651688EA314F788F4FFD721B95BDC1B.jpg
プチシュー　とろ生カスタード　１２個入,313,１２個入のシェアして食べられる一口サイズのシュークリームです。北海道産小麦を使用したシュー生地で香ばしく仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/113017/41FAE337AB2C0418CE3710D0CB97A5ED.jpg
カスタードクリームのプチエクレア,465,コクがあり、くちどけの良いカスタードクリームを味わうプチエクレアです。カカオの味わいを楽しめるチョコを上掛けしました。,https://img.7api-01.dp1.sej.co.jp/item-image/113016/8F05B6FB12B85A65E868F577E91117FB.jpg
プチシュー　とろ生カスタード　１２個入,371,１２個入りのシェアして食べられる一口サイズのシュークリームです。発酵バターを使用したシュー生地で風味よく仕上げました。,https://img.7api-01.dp1.sej.co.jp/item-image/112992/AB31AF6E8F8ECB6030B52BE543662AEE.jpg
